PHASE	TESS
Estremavilla	Estremavilla
in	in
Normandy	Normandy
in	in
his	his
conquest	conquest
of	of
Glamorganshire	Glamorganshire
Branches	Branches
of	of
your	your
family	family
held	held
manors	manors
over	over
all	all
this	this
part	part
of	of
England	England
their	their
names	names
appear	appear
in	in
the	the
Pipe	Pipe
Rolls	Rolls
in	in
the	the
time	time
of	of
King	King
Stephen	Stephen
In	In
the	the
reign	reign
of	of
King	King
John	John
one	one
of	of
them	them
was	was
rich	rich
enough	enough
to	to
give	give
a	a
manor	manor
to	to
the	the
Knights	Knights
Hospitallers	Hospitallers
and	and
in	in
Edward	Edward
the	the
Second’s	Seconds
time	time
your	your
forefather	forefather
Brian	Brian
was	was
summoned	summoned
to	to
Westminster	Westminster
to	to
attend	attend
the	the
great	great
Council	Council
there	there
You	You
declined	declined
a	a
little	little
in	in
Oliver	Oliver
Cromwell’s	Cromwells
time	time
but	but
to	to
no	no
serious	serious
extent	extent
and	and
in	in
Charles	Charles
the	the
Seoond’s	Seconds
reign	reign
you	you
were	were
made	made
Knights	Knights
of	of
the	the
Royal	Royal
Oak	Oak
for	for
your	your
loyalty	loyalty
Aye	Aye
there	there
have	have
been	been
generations	generations
of	of
Sir	Sir
Johns	Johns
among	among
you	you
and	and
if	if
knighthood	knighthood
were	were
hereditary	hereditary
like	like
a	a
baronetcy	baronetcy
as	as
it	it
practicallywas	practically
null	was
in	in
old	old
times	times
when	when
men	men
were	were
knighted	knighted
from	from
father	father
to	to
son	son
you	you
would	would
be	be
Sir	Sir
John	John
now’	now
‘Ye	Ye
don’t	dont
say	say
so’	so
‘In	In
short’	short
concluded	concluded
the	the
parson	parson
decisively	decisively
smacking	smacking
his	his
leg	leg
with	with
his	his
switch	switch
‘theres	theres
hardly	hardly
such	such
another	another
family	family
in	in
England’	England
4	Daze
THE	null
MAIDEN	null
‘Daze	null
my	my
eyes	eyes
and	and
isnt	isnt
there’	there
said	said
Durbeyﬁeld	Durbeyfield
‘And	And
here	here
havereenknocking	have
aboutyearafteryear	I
hompillartcpostasif1wasnomoxethanthe	been
null	knocking
null	about
null	year
null	after
null	year
null	from
null	pillar
null	to
null	post
null	as
null	if
null	I
null	was
null	no
null	more
null	than
null	the
commonest	commonest
feller	feller
in	in
the	the
parish	parish
And	And
how	how
long	long
hev	hev
this	this
news	news
about	about
me	me
been	been
knowed	knowed
Pason	Pason
Tringham‘	Tringham
The	The
clergyman	clergyman
explained	explained
that	that
as	as
far	far
as	as
he	he
was	was
aware	aware
it	it
had	had
quite	quite
died	died
out	out
of	of
knowledge	knowledge
and	and
could	could
hardly	hardly
be	be
said	said
to	to
be	be
known	known
at	at
all	all
His	His
own	own
investigationshad	investigations
begunonadayintheprecedingspring	had
null	begun
null	on
null	a
null	day
null	in
null	the
null	preceding
null	spring
when	when
having	having
been	been
engaged	engaged
in	in
tracing	tracing
the	the
vicissitudes	vicissitudes
of	of
the	the
d’Urberville	dUrberville
family	family
he	he
had	had
obmed	observed
Durbeyﬁeld’s	Durbeyfields
name	name
on	on
his	his
wagon	waggon
and	and
had	had
thereupon	thereupon
been	been
led	led
to	to
make	make
inquiries	inquiries
about	about
his	his
father	father
and	and
grandfathertill	grandfather
null	till
he	he
had	had
no	no
doubt	doubt
on	on
the	the
subject	subject
‘At	At
ﬁrst	first
I	I
resolved	resolved
not	not
to	to
disturb	disturb
you	you
with	with
such	such
a	a
useless	useless
piece	piece
of	of
infomiation’	information
said	said
he	he
‘However	However
our	our
impulses	impulses
are	are
too	too
strong	strong
for	for
our	our
judgment	judgement
sometimes	sometimes
I	I
thought	thought
you	you
might	might
perhaps	perhaps
know	know
something	something
of	of
it	it
all	all
the	the
while’	while
‘Well	Well
I	I
have	have
heard	heard
once	once
or	or
twice	twice
’tis	tis
true	true
that	that
my	my
family	family
had	had
seen	seen
better	better
days	days
afore	afore
they	they
came	came
to	to
Blackmoor	Blackmoor
But	But
I	I
took	took
no	no
notice	notice
ot	ot
thinking	thinking
it	it
to	to
mean	mean
that	that
we	we
had	had
once	once
kept	kept
two	two
horses	horses
where	where
we	we
now	now
keep	keep
only	only
one	one
I’ve	Ive
got	got
a	a
wold	wold
silver	silver
spoon	spoon
and	and
a	a
wold	wold
graven	graven
seal	seal
at	at
home	home
too	too
but	but
Lord	Lord
whats	whats
a	a
spoon	spoon
andsea1AndtothinkthatIandthesenoble	and
null	seal
null	And
null	to
null	think
null	that
null	I
null	and
null	these
null	noble
dUrbervilles	dUrbervilles
were	were
one	one
ﬂesh	flesh
all	all
the	the
time	time
’Twas	Twas
said	said
that	that
my	my
grt—graudfer	grtgranfer
had	had
secrets	secrets
and	and
didnt	didnt
care	care
to	to
talkofwherehecamefrom	talk
Andwhetedowe	of
null	where
null	he
null	came
null	from
null	And
null	where
null	do
null	we
raise	raise
our	our
smoke	smoke
now	now
parson	parson
if	if
I	I
may	may
make	make
so	so
bold	bold
I	I
mean	mean
where	where
do	do
we	we
d’Urbervilles	dUrbervilles
live’	live
‘You	You
don’t	dont
live	live
anywhere	anywhere
You	You
are	are
extinct—as	extinctas
a	a
county	county
family’	family
‘That’s	Thats
bad’	bad
‘Yes——what	Yeswhat
the	the
mendacious	mendacious
family	family
chronicles	chronicles
call	call
ﬁnd	extinct
in‘the	in
null	the
male	male
line—that	linethat
is	is
gone	gone
dowmgme	downgone
er’	under
‘Then	Then
where	where
do	do
we	we
lie	lie
‘At	At
KingsberesubGreenhill	KingsberesubGreenhill
rows	rows
and	and
rows	rows
of	of
5	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
you	you
in	in
your	your
vaults	vaults
with	with
your	your
eﬁgies	effigies
under	under
Purbeckmarble	Purbeckmarble
canopies’	canopies
‘And	And
where	where
be	be
our	our
family	family
mansions	mansions
and	and
estates’	estates
‘You	You
havent	havent
any’	any
‘Oh	Oh
No	No
lands	lands
nmther’	neither
‘None	None
though	though
you	you
once	once
had	had
null	em
in	in
abundance	abundance
as	as
I	I
said	said
for	for
your	you
family	family
consisted	consisted
of	of
numerous	numerous
branches	branches
In	In
this	this
county	county
there	there
was	was
a	a
seat	seat
of	of
yours	yours
at	at
Kingsbere	Kingsbere
and	and
another	another
at	at
Sherton	Sherton
and	and
another	another
at	in
Millpond	Millpond
and	and
another	another
at	at
Luilstead	Lullstead
and	and
another	another
at	at
Wellbridge’	Wellbridge
‘Andshallweeveroomeintoourownagain’	And
‘Ah—that	shall
null	we
null	ever
null	come
null	into
null	our
null	own
null	again
null	Ahthat
I	I
cant	cant
tell‘	tell
‘And	And
what	what
had	had
I	I
better	better
do	do
about	about
it	it
sir’	sir
mired	asked
Durbeyﬁeld	Durbeyfield
after	after
a	a
pause	pause
I	Ohnothing
‘Oh—nothing	null
nothing	nothing
except	except
chasten	chasten
yourself	yourself
with	with
the	the
thought	thought
of	of
“how	how
are	are
the	the
mighty	mighty
fallen”	fallen
It	It
isafactofsomeinteresttothelocalhistorianand	is
null	a
null	fact
null	of
null	some
null	interest
null	to
null	the
null	local
null	historian
null	and
genealogist	genealogist
nothing	nothing
more	more
There	There
are	are
several	several
families	families
among	among
the	the
cottagers	cottagers
of	of
this	this
county	county
of	of
almost	almost
equal	equal
lustre	lustre
Good	Good
night’	night
‘But	But
you’ll	youll
turn	turn
back	back
and	and
have	have
a	a
quart	quart
of	of
beer	beer
wi’	wi
me	me
on	on
the	the
strength	strength
o’t	ot
Pa’son	Pason
Tringham	Tringham
There’s	Theres
a	a
very	very
pretty	pretty
brew	brew
in	in
tap	tap
at	at
The	The
Pure	Pure
Drop—though	Dropthough
to	to
be	be
sure	sure
not	not
so	so
good	good
as	as
at	at
Rolliver’s’	Rollivers
‘No	No
thank	thank
you—not	younot
this	this
evening	evening
Durbeyﬁeld	Durbeyfield
Youve	Youve
had	had
enough	enough
already’	already
Concluding	Concluding
thus	thus
the	the
parsonrodeonhiswaywithdoubtsastohisdiscretion	parson
null	rode
null	on
null	his
null	way
null	with
null	doubts
null	as
null	to
null	his
null	discretion
in	in
retailing	retailing
this	this
curious	curious
bit	bit
of	of
lore	lore
When	When
he	he
was	was
gone	gone
Durbeyﬁeld	Durbeyfield
walked	walked
a	a
few	few
steps	steps
in	in
a	a
profound	profound
reverie	reverie
and	and
then	then
sat	sat
down	down
upon	upon
the	the
grassy	grassy
bank	bank
by	by
the	the
roadside	roadside
depositing	depositing
his	his
basket	basket
before	before
him	him
In	In
a	a
few	few
minutes	minutes
a	a
youth	youth
appeared	appeared
in	in
the	the
distance	distance
walldng	walking
in	in
the	the
same	same
direction	direction
as	as
that	that
which	which
had	had
been	been
pursued	pursued
by	by
Durbeyﬁeld	Durbeyfield
The	The
latter	latter
on	on
seeing	seeing
him	him
held	held
up	up
his	his
hand	hand
and	and
the	the
lad	lad
quickened	quickened
his	his
pace	pace
and	and
came	came
near	near
‘Boy	Boy
takeupthatbasket	take
Iwanteetogoonan	up
errand	that
for	basket
me’	I
6	want
m	ee
THE	to
MAIDEN	go
null	on
null	an
null	errand
null	for
null	me
The	The
lathlike	lathlike
stripling	stripling
frowned	frowned
‘Who	Who
be	be
you	you
then	then
John	John
Durbeyﬁeld	Durbeyfield
to	to
order	order
me	me
about	about
and	and
call	call
me	me
“boy”	boy
You	You
know	know
my	my
name	name
as	as
well	well
as	as
I	I
know	know
P	null
yours	yours
‘Do	Do
you	you
do	do
you	you
That’s	Thats
the	the
secret—thats	secretthats
the	the
secret	secret
Now	Now
obey	obey
my	my
orders	orders
and	and
take	take
the	the
message	message
I’mgoingtocharge	Im
’eewi’	going
WellFredIdon’t	to
mindtellingyouthatthesecretisthatI’moneofa	charge
null	ee
null	wi
null	Well
null	Fred
null	I
null	dont
null	mind
null	telling
null	you
null	that
null	the
null	secret
null	is
null	that
null	Im
null	one
null	of
null	a
noble	noble
race—it	raceit
has	has
been	been
just	just
found	found
out	out
by	by
me	me
this	this
present	present
afternoon	afternoon
PM	PM
And	And
as	as
he	he
made	made
the	the
announcement	announcement
Durbeyﬁeld	Durbeyfield
declining	declining
from	from
his	his
sitting	sitting
position	position
luxuriously	luxuriously
stretched	stretched
himself	himself
out	out
upon	upon
the	the
bank	bank
among	among
the	the
daisies	daisies
The	The
lad	lad
stood	stood
before	before
Durbeyﬁeld	Durbeyfield
and	and
contemplated	contemplated
his	his
length	length
from	from
crown	crown
to	to
toe	toe
‘	null
Sir	Sir
John	John
d’Urberville—that’s	dUrbervillethats
who	who
I	I
am’	am
continued	continued
the	the
prostrate	prostrate
man	man
Phat	That
is	is
if	if
knights	knights
were	were
baronets	baronetswhich
—which	null
they	they
be	be
’Tis	Tis
recorded	recorded
in	in
history	history
all	all
about	about
me	me
Dost	Dost
know	know
of	of
such	such
a	a
place	place
lad	lad
as	as
KingsberesubGreenhill’	KingsberesubGreenhill
‘Ees	Ees
I’ve	Ive
been	been
there	there
to	to
Greenhill	Greenhill
Fair’	Fair
‘Well	Well
under	under
the	the
church	church
of	of
that	that
city	city
there	there
lie—’	lie
‘	Tisnt
’Tisn’t	null
a	a
city	city
the	the
place	place
I	I
h1eanleastwise	mean
null	leastwise
twaddn	twaddn
when	when
I	I
was	was
there—twas	theretwas
a	a
littleoneeyed	little
null	oneeyed
blinking	blinking
sort	sort
0’	o
place’	place
‘Never	Never
you	you
mind	mind
the	the
place	place
boy	boy
that’s	thats
not	not
the	the
question	question
before	before
us	us
Under	Under
the	the
church	church
of	of
that	that
there	there
parish	parish
lie	lie
my	my
ancestors—hundreds	ancestorshundreds
of	of
em—in	emin
coats	coats
of	of
mailandjewelsingr’tleadcoﬂinsweighingtonsand	mail
null	and
null	jewels
null	in
null	grt
null	lead
null	coffins
null	weighing
tons	tons
There’s	and
null	tons
null	Theres
not	not
a	a
man	man
in	in
the	the
county	county
0	o
South	SouthWessex
Wessex	null
thats	thats
got	got
grander	grander
and	and
nobler	nobler
skillentons	skillentons
in	in
his	his
family	family
than	than
I’	I
‘0h’	Oh
‘Now	Now
take	take
up	up
that	that
basket	basket
and	and
goo	goo
on	on
to	to
Marlott	Marlott
and	and
when	when
youve	youve
come	come
to	to
The	The
Pure	Pure
Drop	Drop
Inn	Inn
tell	tell
em	em
to	to
send	send
a	a
horse	horse
and	and
carriage	carriage
to	to
me	me
immedately	immedately
to	to
carry	carry
me	me
hwome	hwome
And	And
in	in
the	the
bottom	bottom
0’	o
themrriage	the
theybetoputanoggino’ruminasmallbottle	carriage
null	they
null	be
null	to
null	put
null	a
null	noggin
null	o
null	rum
null	in
null	a
null	small
null	bottle
and	and
chalk	chalk
it	it
up	up
to	to
my	my
account	account
And	And
when	when
youve	youve
done	done
1	that
TESS	goo
OF	on
THE	to
DURBERVILLES	my
thatgooontomyhousewiththebasket	house
andtellmy	with
null	the
null	basket
null	and
null	tell
null	my
wife	wife
to	to
put	put
away	away
that	that
washing	washing
because	because
she	she
needn’t	neednt
ﬁnish	finish
it	it
and	and
wait	wait
till	till
I	I
come	come
hwome	hwome
as	as
Ive	Ive
news	news
to	to
tell	tell
her’	her
As	As
the	the
lad	lad
stood	stood
in	in
a	a
dubious	dubious
attitude	attitude
Durbeyﬁeld	Durbeyfield
puthishandinhispocketandproducedashillingone	put
null	his
null	hand
null	in
null	his
null	pocket
null	and
null	produced
null	a
null	shilling
null	one
of	of
the	the
chronically	chronically
few	few
that	that
he	he
pom	possessed
‘Heres	Heres
for	for
your	your
labour	labour
lad’	lad
This	This
made	made
a	a
diﬂerenCe	difference
in	in
the	the
young	young
mans	mans
estimate	estimate
of	of
the	the
‘Yes	position
null	Yes
Sir	Sir
John	John
Thank	Thank
’ee	ee
Anything	Anything
else	else
I	I
can	can
do	do
for	for
’ee	ee
Sir	Sir
John’	John
‘	null
Tell	Tell
’em	em
at	at
hwome	hwome
that	that
I	I
should	should
like	like
for	for
supper——	supperwell
well	null
lambs	lambs
fry	fry
it	if
they	they
can	can
get	get
it	it
and	and
if	if
they	they
cant	cant
blackpot	blackpot
and	and
if	if
they	they
can’t	cant
get	get
that	that
well	well
chitterlings	chitterlings
will	will
do’	do
‘Yes	Yes
Sir	Sir
John’	John
Theboy	The
tookup	boy
thebasket	took
andashesetoutthe	up
null	the
null	basket
null	and
null	as
null	he
null	set
null	out
null	the
notes	notes
of	of
a	a
brass	brass
band	band
were	were
heard	heard
from	from
the	the
direction	direction
of	of
the	the
village	village
‘	Whats
‘IW	null
hat’s	null
that	that
said	said
Durbeyﬁeld	Durbeyfield
‘Not	Not
on	on
acemmt	account
of	o
1	I
Tis	Tis
the	the
women’s	womens
clubwalking	clubwalking
Sir	Sir
John	John
Why	Why
your	your
da’ter	dater
is	is
one	one
o’	o
the	the
members‘	members
‘To	To
be	be
sure—Id	sureId
quite	quite
forgot	forgot
it	it
in	in
my	my
thoughts	thoughts
of	of
greater	greater
things	things
Well	Well
vamp	vamp
on	on
to	to
Marlott	Marlott
will	will
ye	ye
and	and
order	order
that	that
carriage	carriage
and	and
maybe	maybe
I’ll	Ill
drive	drive
round	round
and	and
inspect	inspect
the	the
club’	club
The	The
lad	lad
departed	departed
and	and
Durbeyﬁeld	Durbeyfield
lay	lay
waiting	waiting
on	on
the	the
grass	grass
and	and
daisies	daisies
in	in
the	the
evening	evening
sun	sun
Not	Not
a	a
soul	soul
passed	passed
that	that
way	way
for	for
a	a
long	long
while	while
and	and
the	the
faint	faint
notes	notes
of	of
the	the
band	band
were	were
the	the
only	only
human	human
sounds	sounds
audible	audible
within	within
the	the
rim	rim
of	of
blue	blue
hills	hills
II	II
THE	The
village	village
of	of
Marlott	Marlott
lay	lay
amid	amid
the	the
northeastern	northeastern
undulations	undulations
of	of
the	the
beautiful	beautiful
Vale	Vale
of	of
Blakemore	Blakemore
or	or
Blaclnnoor	Blackmoor
aforesaid	aforesaid
an	an
engirdled	engirdled
and	and
secluded	secluded
region	region
for	for
the	the
most	most
part	part
untrodden	untrodden
as	as
yet	yet
by	by
tourist	tourist
or	or
landscapepainter	landscapepainter
though	though
within	within
a	a
four	four
hours	hours
journey	journey
from	from
London	London
It	It
is	is
a	a
vale	vale
whose	whose
acquaintance	acquaintance
is	is
best	best
made	made
by	by
viewing	viewing
it	it
item	from
the	the
summits	summits
of	of
the	the
hills	hills
that	that
surround	surround
it—exeept	itexcept
perhaps	perhaps
during	during
the	the
droughts	droughts
of	of
summer	summer
An	An
unguided	unguided
ramble	ramble
into	into
its	its
recesses	recesses
in	in
bad	bad
weather	weather
is	is
apt	apt
to	to
engender	engender
null	dissatisfaction
with	with
its	its
narrow	narrow
tortuous	tortuous
and	and
inin	miry
ways	ways
This	This
fertile	fertile
and	and
sheltered	sheltered
tract	tract
of	of
country	country
in	in
which	which
the	the
ﬁelds	fields
are	are
never	never
brown	brown
and	and
the	the
springs	springs
never	never
dry	dry
is	is
bounded	bounded
on	on
the	the
south	south
by	by
the	the
bold	bold
chalk	chalk
ridge	ridge
that	that
embraces	embraces
the	the
prominences	prominences
of	of
Hambledon	Hambledon
Hill	Hill
Bulbarrow	Bulbarrow
Nettlecombe	NettlecombeTout
Tout	Dogbury
Dogbury	High
HighStay	Stoy
and	and
Bubb	Bubb
Down	Down
The	The
traveller	traveller
from	from
the	the
coast	coast
who	who
after	after
plodding	plodding
northward	northward
for	for
a	a
score	score
of	of
miles	miles
over	over
calcareous	calcareous
downs	downs
and	and
cornlands	cornlands
suddenly	suddenly
reaches	reaches
the	the
verge	verge
of	of
one	one
of	of
these	these
escarpments	escarpments
is	is
surprised	surprised
and	and
delighted	delighted
to	to
behold	behold
extended	extended
like	like
a	a
map	map
beneath	beneath
him	him
a	a
country	country
differing	differing
absolutely	absolutely
from	from
that	that
which	which
he	he
has	has
passed	passed
through	through
Behind	Behind
him	him
the	the
hills	hills
are	are
open	open
the	the
sun	sun
blazes	blazes
down	down
upon	upon
ﬁelds	fields
so	so
large	large
as	as
to	to
give	give
an	an
unenclosed	unenclosed
character	character
to	to
the	the
landscape	landscape
the	the
lanes	lanes
are	are
white	white
the	the
hedges	hedges
low	low
and	and
plashed	plashed
the	the
atmosphere	atmosphere
colourless	colourless
Here	Here
in	in
the	the
valley	valley
the	the
world	world
seems	seems
to	to
be	be
constructed	constructed
upon	upon
a	a
smaller	smaller
and	and
more	more
delicate	delicate
scale	scale
the	the
ﬁelds	fields
are	are
mere	mere
paddocks	paddocks
so	so
reduced	reduced
that	that
from	from
this	this
height	height
their	their
hedgerows	hedgerows
appear	appear
a	a
network	network
of	of
dark	dark
green	green
threads	threads
9	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
overspreading	overspreading
the	the
paler	paler
green	green
of	of
the	the
grass	grass
The	The
atmosphere	atmosphere
beneath	beneath
is	is
languorous	languorous
and	and
is	is
so	so
tinged	tinged
with	with
azure	azure
that	that
what	what
artists	artists
call	call
the	the
middle	middle
distance	distance
partakes	partakes
also	also
of	of
that	that
hue	hue
while	while
the	the
horizon	horizon
beyond	beyond
is	is
of	of
the	the
deepest	deepest
ultramarine	ultramarine
Arable	Arable
lands	lands
are	are
few	few
and	and
limited	limited
with	with
but	but
slight	slight
exceptions	exceptions
the	the
prospect	prospect
is	is
a	a
broad	broad
rich	rich
mass	mass
of	of
grass	grass
and	and
trees	trees
mantling	mantling
minor	minor
hills	hills
and	and
dales	dales
within	within
the	the
major	major
Such	Such
is	is
the	the
Vale	Vale
of	of
Blackmoor	Blackmoor
The	The
district	district
is	is
of	of
historic	historic
no	no
less	less
than	than
of	of
topographical	topographical
interest	interest
The	The
Vale	Vale
was	was
known	known
in	in
former	former
times	times
as	as
the	the
Forest	Forest
of	of
White	White
Hart	Hart
from	from
a	a
curious	curious
legend	legend
of	of
King	King
Henry	Henry
III’s	IIIs
reign	reign
in	in
which	which
the	the
killing	killing
by	by
a	a
certain	certain
Thomas	Thomas
de	de
la	la
Lynd	Lynd
of	of
a	a
beautiful	beautiful
white	white
hart	hart
which	which
the	the
king	king
had	had
run	run
down	down
and	and
spared	spared
was	was
made	made
the	the
occasion	occasion
of	of
a	a
heavy	heavy
ﬁne	fine
In	In
those	those
days	days
and	and
till	till
comparatively	comparatively
recent	recent
times	times
the	the
country	country
was	was
densely	densely
wooded	wooded
Even	Even
now	now
traces	traces
of	of
its	its
earlier	earlier
condition	condition
are	are
to	to
be	be
found	found
in	in
the	the
old	old
oak	oak
copses	copses
and	and
irregular	irregular
belts	belts
of	of
timber	timber
that	that
yet	yet
survive	survive
upon	upon
its	its
slopes	slopes
and	and
the	the
hollowtrunked	hollowtrunked
trees	trees
that	that
shade	shade
so	so
many	many
of	of
its	its
pastures	pastures
The	The
forests	forests
have	have
departed	departed
but	but
some	some
old	old
customs	customs
of	of
their	their
shades	shades
remain	remain
Many	Many
however	however
linger	linger
only	only
in	in
a	a
metamorphosed	metamorphosed
or	or
disguised	disguised
form	form
The	The
MayDay	MayDay
dance	dance
for	for
instance	instance
was	was
to	to
be	be
discerned	discerned
on	on
the	the
afternoon	afternoon
under	under
notice	notice
in	in
the	the
guise	guise
of	of
the	the
club	club
revel	revel
or	or
‘clubwalking’	clubwalking
as	as
it	it
was	was
there	there
called	called
It	It
was	was
an	an
interesting	interesting
event	event
to	to
the	the
younger	younger
inhabitants	inhabitants
of	of
Marlott	Marlott
though	though
its	its
real	real
interest	interest
was	was
not	not
observed	observed
by	by
the	the
participators	participators
in	in
the	the
ceremony	ceremony
Its	Its
singularity	singularity
lay	lay
less	less
in	in
the	the
retention	retention
of	of
a	a
custom	custom
of	of
walking	walking
in	in
procession	procession
and	and
dancing	dancing
on	on
each	each
anniversary	anniversary
than	than
in	in
the	the
members	members
being	being
solely	solely
women	women
In	In
men’s	mens
clubs	clubs
such	such
celebrations	celebrations
were	were
though	though
expiring	expiring
less	less
uncommon	uncommon
but	but
either	either
the	the
natural	natural
shyness	shyness
of	of
the	the
softer	softer
sex	sex
or	or
a	a
sarcastic	sarcastic
attitude	attitude
on	on
the	the
part	part
of	of
male	male
relatives	relatives
had	had
denuded	denuded
such	such
womens	womens
clubs	clubs
as	as
remained	remained
if	if
any	any
other	other
did	did
of	or
this	this
their	their
glory	glory
and	and
con	consummation
30	null
THE	null
MAIDEN	null
summation	null
The	The
club	club
of	of
Marlott	Marlott
alone	alone
lived	lived
to	to
uphold	uphold
the	the
local	local
Cerealia	Cerealia
It	It
had	had
walked	walked
for	for
hundreds	hundreds
of	of
years	years
if	if
not	not
as	as
beneﬁtpclub	benefitclub
as	as
votive	votive
sisterhood	sisterhood
of	of
some	some
sort	sort
and	and
it	it
walked	walked
still	still
The	The
banded	banded
ones	ones
were	were
all	all
dressed	dressed
in	in
white	white
gowns	gownsa
—a	null
gay	gay
survival	survival
from	from
Old	Old
Style	Style
days	days
when	when
cheerfulness	cheerfulness
and	and
Maytime	Maytime
were	were
synonyms—days	synonymsdays
before	before
the	the
habit	habit
of	of
taking	taking
long	long
views	views
had	had
reduced	reduced
emotions	emotions
to	to
a	a
monotonous	monotonous
average	average
Their	Their
ﬁrst	first
exhibition	exhibition
of	of
themselveswasinaprocessionalmarchoftwoand	themselves
null	was
null	in
null	a
null	processional
null	march
null	of
two	two
null	and
null	two
round	round
the	the
parish	parish
Ideal	Ideal
and	and
real	real
clashed	clashed
slightly	slightly
as	as
the	the
sun	sun
lit	lit
up	up
their	their
ﬁgures	figures
against	against
the	the
green	green
hedges	hedges
and	and
creeperlaced	creeperlaced
housefronts	housefronts
for	for
though	though
the	the
whole	whole
troop	troop
wore	wore
white	white
garments	garments
no	no
two	two
